endpoint_id,seed,feature_set,model_name,split_comparison,mae_exact_delta_b_minus_a,spearman_exact_delta_b_minus_a,censored_nll_delta_b_minus_a,nearest_neighbor_tanimoto_a,nearest_neighbor_tanimoto_b,nearest_neighbor_tanimoto_delta_b_minus_a
hERG_Ki_B,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.018700894262403733,-0.098781570914655,0.03687632377811645,0.703675176056338,0.4545454545454545,-0.24912972151088353
hERG_Ki_B,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.11592207044172054,-0.1357846616195884,0.04046506648509074,0.703675176056338,0.4545454545454545,-0.24912972151088353
hERG_Ki_B,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.17404162180561267,-0.22094193431227308,0.07620944501822868,0.703675176056338,0.4545454545454545,-0.24912972151088353
hERG_IC50_B,3,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.009814516851037625,0.011349363379250632,0.02448734697050492,0.6935483870967742,0.4691358024691358,-0.22441258462763847
hERG_IC50_B,3,morgan,tobit_mlp,scaffold_vs_cluster_butina,-0.03259928926820277,-0.046698903289991434,0.036394946771797,0.6935483870967742,0.4691358024691358,-0.22441258462763847
hERG_IC50_B,3,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.05338700501149407,-0.017177404683910213,0.06032299310584244,0.6935483870967742,0.4691358024691358,-0.22441258462763847
hERG_IC50_B,2,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.0881440352934767,-0.051352729951356424,0.026053767136019923,0.6853932584269663,0.419753086419753,-0.2656401720072133
hERG_IC50_B,2,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.13878426244245246,-0.03628609321634596,0.10994308780700957,0.6853932584269663,0.419753086419753,-0.2656401720072133
hERG_IC50_B,2,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.22621218507606,-0.08515547821535019,0.09917159234038775,0.6853932584269663,0.419753086419753,-0.2656401720072133
hERG_IC50_B,0,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.029826900194404593,0.013333248361044325,0.10221236405601908,0.6935483870967742,0.4428571428571428,-0.25069124423963146
hERG_IC50_B,0,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.18531998995859222,-0.0812220150369436,0.2471966873268172,0.6935483870967742,0.4428571428571428,-0.25069124423963146
hERG_IC50_B,0,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.12385277759114777,-0.011634827509268919,0.14638680870836862,0.6935483870967742,0.4428571428571428,-0.25069124423963146
hERG_IC50_B,4,morgan,xgboost_aft,scaffold_vs_cluster_butina,0.025541699943430474,-0.10686896963117853,0.04184051008733336,0.6911764705882353,0.4411764705882353,-0.25
hERG_IC50_B,4,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.031061588239564064,-0.08284859368566355,0.07766857958226359,0.6911764705882353,0.4411764705882353,-0.25
hERG_IC50_B,4,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.034038190657528555,-0.10829930338704646,0.10742855843672294,0.6911764705882353,0.4411764705882353,-0.25
hERG_IC50_B,1,morgan,xgboost_aft,scaffold_vs_cluster_butina,-0.004852569499084081,-0.08248385658562252,0.06339076708783686,0.6911764705882353,0.4356435643564356,-0.2555329062317997
hERG_IC50_B,1,morgan,tobit_mlp,scaffold_vs_cluster_butina,0.30147681769372014,-0.12474628189745854,0.11478410762727398,0.6911764705882353,0.4356435643564356,-0.2555329062317997
hERG_IC50_B,1,morgan,tobit_ensemble,scaffold_vs_cluster_butina,0.15380777447687555,-0.07128635803913824,0.18179466479477369,0.6911764705882353,0.4356435643564356,-0.2555329062317997
CYP2C19_IC50_A,1,morgan,xgboost_drop_censored,random_vs_cluster_butina,0.10476368607926023,-0.35014914231818417,,0.7083916083916084,0.3076923076923077,-0.4006993006993007
CYP2C19_IC50_A,1,morgan,xgboost_threshold_as_exact,random_vs_cluster_butina,0.055890962107427666,-0.24268645351455093,,0.7083916083916084,0.3076923076923077,-0.4006993006993007
CYP2C19_IC50_A,3,morgan,xgboost_drop_censored,random_vs_cluster_butina,0.11864046721923144,-0.4111071051103039,,0.6916083916083916,0.3094010800196367,-0.3822073115887549
